label,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size
G9_M_C_11_L,G9,M,C,11,L,2.469817274,0.90414417
G9_M_C_11_R,G9,M,C,11,R,2.460963679,0.900553013
G9_M_C_12_L,G9,M,C,12,L,2.581400307,0.948332006
G9_M_C_12_R,G9,M,C,12,R,2.575387484,0.946000002
G9_M_C_13_L,G9,M,C,13,L,2.496124716,0.914739416
G9_M_C_13_R,G9,M,C,13,R,2.493321133,0.91361561
G9_M_C_14_L,G9,M,C,14,L,2.400704571,0.875762266
G9_M_C_14_R,G9,M,C,14,R,2.408185482,0.878873552
G9_M_C_15_L,G9,M,C,15,L,2.53747525,0.931169591
G9_M_C_15_R,G9,M,C,15,R,2.530503597,0.928418333
G9_M_C_16_L,G9,M,C,16,L,2.264660205,0.817424728
G9_M_C_16_R,G9,M,C,16,R,2.262687449,0.816553243
G9_M_C_17_L,G9,M,C,17,L,2.193383934,0.785445527
G9_M_C_17_R,G9,M,C,17,R,2.187222292,0.782632379
G9_M_C_18_L,G9,M,C,18,L,2.274263865,0.821656424
G9_M_C_18_R,G9,M,C,18,R,2.260056201,0.815389681
G9_M_C_19_L,G9,M,C,19,L,2.263501673,0.816913027
G9_M_C_19_R,G9,M,C,19,R,2.270416573,0.819963327
G9_M_C_20_L,G9,M,C,20,L,2.112419131,0.747833798
G9_M_C_20_R,G9,M,C,20,R,2.099415287,0.741658871
G9_M_C_21_L,G9,M,C,21,L,2.414006596,0.881287855
G9_M_C_21_R,G9,M,C,21,R,2.422965106,0.884992041
G9_M_C_22_L,G9,M,C,22,L,2.255051908,0.813172992
G9_M_C_22_R,G9,M,C,22,R,2.245361001,0.80886631
G9_M_C_23_L,G9,M,C,23,L,2.323269081,0.842975281
G9_M_C_23_R,G9,M,C,23,R,2.309107687,0.836861167
G9_M_C_24_L,G9,M,C,24,L,2.09374449,0.738954085
G9_M_C_24_R,G9,M,C,24,R,2.095881069,0.739974023
G9_M_C_25_L,G9,M,C,25,L,2.533478093,0.929593099
G9_M_C_25_R,G9,M,C,25,R,2.552613208,0.937117622
G9_M_C_26_L,G9,M,C,26,L,2.008515619,0.697395951
G9_M_C_26_R,G9,M,C,26,R,2.02481022,0.705475978
G9_M_C_27_L,G9,M,C,27,L,2.306475877,0.835720765
G9_M_C_27_R,G9,M,C,27,R,2.313564339,0.838789339
G9_M_C_28_L,G9,M,C,28,L,2.096787495,0.740406409
G9_M_C_28_R,G9,M,C,28,R,2.091919348,0.738081993
G9_M_C_29_L,G9,M,C,29,L,2.295178746,0.830810725
G9_M_C_29_R,G9,M,C,29,R,2.297970451,0.832026321
G9_M_C_30_L,G9,M,C,30,L,2.245754205,0.809041413
G9_M_C_30_R,G9,M,C,30,R,2.244675786,0.808561095
G9_M_C_31_L,G9,M,C,31,L,2.418523911,0.8831574
G9_M_C_31_R,G9,M,C,31,R,2.424738218,0.885723567
G9_M_C_32_L,G9,M,C,32,L,2.325179063,0.843797052
G9_M_C_32_R,G9,M,C,32,R,2.324048057,0.843310517
G9_M_C_33_L,G9,M,C,33,L,1.915222835,0.649833979
G9_M_C_33_R,G9,M,C,33,R,1.935243033,0.660232917
G9_M_C_34_L,G9,M,C,34,L,2.202873493,0.789762641
G9_M_C_34_R,G9,M,C,34,R,2.211331795,0.793594956
G9_M_C_35_L,G9,M,C,35,L,1.99117132,0.688723069
G9_M_C_35_R,G9,M,C,35,R,1.996268659,0.691279768
G9_M_C_36_L,G9,M,C,36,L,2.225960071,0.800188315
G9_M_C_36_R,G9,M,C,36,R,2.23423038,0.80389682
G9_M_C_37_L,G9,M,C,37,L,2.375705537,0.865294462
G9_M_C_37_R,G9,M,C,37,R,2.371881782,0.863683641
G9_M_C_38_L,G9,M,C,38,L,2.298668737,0.832330145
G9_M_C_38_R,G9,M,C,38,R,2.293801185,0.830210348
G9_M_C_39_L,G9,M,C,39,L,2.424874839,0.88577991
G9_M_C_39_R,G9,M,C,39,R,2.433808919,0.889457487
G9_M_C_40_L,G9,M,C,40,L,2.202056249,0.789391583
G9_M_C_40_R,G9,M,C,40,R,2.226012857,0.800212029
G9_M_C_41_L,G9,M,C,41,L,2.235777166,0.804588893
G9_M_C_41_R,G9,M,C,41,R,2.236428907,0.804880356
G9_M_C_42_L,G9,M,C,42,L,2.260734772,0.815689881
G9_M_C_42_R,G9,M,C,42,R,2.273697905,0.821407539
G9_M_C_43_L,G9,M,C,43,L,2.151897612,0.766350063
G9_M_C_43_R,G9,M,C,43,R,2.155241252,0.767902667
G9_M_C_44_L,G9,M,C,44,L,2.39104968,0.871732466
G9_M_C_44_R,G9,M,C,44,R,2.400841406,0.875819262
G9_M_C_45_L,G9,M,C,45,L,2.373659332,0.864432786
G9_M_C_45_R,G9,M,C,45,R,2.381445063,0.867707473
G9_M_C_46_L,G9,M,C,46,L,2.259730029,0.81524535
G9_M_C_46_R,G9,M,C,46,R,2.263207964,0.81678326
G9_M_C_47_L,G9,M,C,47,L,2.445966434,0.894440314
G9_M_C_47_R,G9,M,C,47,R,2.461137907,0.900623807
G9_M_C_48_L,G9,M,C,48,L,2.192456079,0.785022413
G9_M_C_48_R,G9,M,C,48,R,2.194693544,0.786042421
G9_M_C_49_L,G9,M,C,49,L,2.366824359,0.861549124
G9_M_C_49_R,G9,M,C,49,R,2.379881836,0.867050838
G9_M_C_50_L,G9,M,C,50,L,2.271503346,0.820441879
G9_M_C_50_R,G9,M,C,50,R,2.27543986,0.822173379
G9_M_D_01_L,G9,M,D,1,L,2.145437931,0.763343695
G9_M_D_01_R,G9,M,D,1,R,2.163603841,0.771775276
G9_M_D_02_L,G9,M,D,2,L,2.344460509,0.852055315
G9_M_D_02_R,G9,M,D,2,R,2.363173954,0.860005611
G9_M_D_03_L,G9,M,D,3,L,2.192792589,0.785175886
G9_M_D_03_R,G9,M,D,3,R,2.205290199,0.79085911
